ethnicity,name,bam,bai
TSI,NA20826,/vol1/ftp/phase3/data/NA20826/exome_alignment/NA20826.mapped.ILLUMINA.bwa.TSI.exome.20121211.bam,/vol1/ftp/phase3/data/NA20826/exome_alignment/NA20826.mapped.ILLUMINA.bwa.TSI.exome.20121211.bam.bai
LWK,NA19446,/vol1/ftp/phase3/data/NA19446/exome_alignment/NA19446.mapped.ILLUMINA.bwa.LWK.exome.20130415.bam,/vol1/ftp/phase3/data/NA19446/exome_alignment/NA19446.mapped.ILLUMINA.bwa.LWK.exome.20130415.bam.bai
MXL,NA19655,/vol1/ftp/phase3/data/NA19655/exome_alignment/NA19655.mapped.ILLUMINA.bwa.MXL.exome.20120522.bam,/vol1/ftp/phase3/data/NA19655/exome_alignment/NA19655.mapped.ILLUMINA.bwa.MXL.exome.20120522.bam.bai
CDX,HG02375,/vol1/ftp/phase3/data/HG02375/exome_alignment/HG02375.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam,/vol1/ftp/phase3/data/HG02375/exome_alignment/HG02375.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam.bai
GBR,HG00119,/vol1/ftp/phase3/data/HG00119/exome_alignment/HG00119.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam,/vol1/ftp/phase3/data/HG00119/exome_alignment/HG00119.mapped.ILLUMINA.bwa.GBR.exome.20120522.bam.bai
CDX,HG02367,/vol1/ftp/phase3/data/HG02367/exome_alignment/HG02367.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam,/vol1/ftp/phase3/data/HG02367/exome_alignment/HG02367.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam.bai
KHV,HG01872,/vol1/ftp/phase3/data/HG01872/exome_alignment/HG01872.mapped.ILLUMINA.bwa.KHV.exome.20120522.bam,/vol1/ftp/phase3/data/HG01872/exome_alignment/HG01872.mapped.ILLUMINA.bwa.KHV.exome.20120522.bam.bai
GBR,HG00101,/vol1/ftp/phase3/data/HG00101/exome_alignment/HG00101.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam,/vol1/ftp/phase3/data/HG00101/exome_alignment/HG00101.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai
ACB,HG02284,/vol1/ftp/phase3/data/HG02284/exome_alignment/HG02284.mapped.ILLUMINA.bwa.ACB.exome.20121211.bam,/vol1/ftp/phase3/data/HG02284/exome_alignment/HG02284.mapped.ILLUMINA.bwa.ACB.exome.20121211.bam.bai
ESN,HG03132,/vol1/ftp/phase3/data/HG03132/exome_alignment/HG03132.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam,/vol1/ftp/phase3/data/HG03132/exome_alignment/HG03132.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam.bai
PJL,HG02728,/vol1/ftp/phase3/data/HG02728/exome_alignment/HG02728.mapped.ILLUMINA.bwa.PJL.exome.20121211.bam,/vol1/ftp/phase3/data/HG02728/exome_alignment/HG02728.mapped.ILLUMINA.bwa.PJL.exome.20121211.bam.bai
JPT,NA18970,/vol1/ftp/phase3/data/NA18970/exome_alignment/NA18970.mapped.ILLUMINA.bwa.JPT.exome.20120522.bam,/vol1/ftp/phase3/data/NA18970/exome_alignment/NA18970.mapped.ILLUMINA.bwa.JPT.exome.20120522.bam.bai
ESN,HG02943,/vol1/ftp/phase3/data/HG02943/exome_alignment/HG02943.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam,/vol1/ftp/phase3/data/HG02943/exome_alignment/HG02943.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam.bai
CHS,HG00581,/vol1/ftp/phase3/data/HG00581/exome_alignment/HG00581.mapped.ILLUMINA.bwa.CHS.exome.20120522.bam,/vol1/ftp/phase3/data/HG00581/exome_alignment/HG00581.mapped.ILLUMINA.bwa.CHS.exome.20120522.bam.bai
FIN,HG00329,/vol1/ftp/phase3/data/HG00329/exome_alignment/HG00329.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam,/vol1/ftp/phase3/data/HG00329/exome_alignment/HG00329.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam.bai
STU,HG03851,/vol1/ftp/phase3/data/HG03851/exome_alignment/HG03851.mapped.ILLUMINA.bwa.STU.exome.20130415.bam,/vol1/ftp/phase3/data/HG03851/exome_alignment/HG03851.mapped.ILLUMINA.bwa.STU.exome.20130415.bam.bai
KHV,HG02079,/vol1/ftp/phase3/data/HG02079/exome_alignment/HG02079.mapped.ILLUMINA.bwa.KHV.exome.20130415.bam,/vol1/ftp/phase3/data/HG02079/exome_alignment/HG02079.mapped.ILLUMINA.bwa.KHV.exome.20130415.bam.bai
CHS,HG00407,/vol1/ftp/phase3/data/HG00407/exome_alignment/HG00407.mapped.ILLUMINA.bwa.CHS.exome.20121211.bam,/vol1/ftp/phase3/data/HG00407/exome_alignment/HG00407.mapped.ILLUMINA.bwa.CHS.exome.20121211.bam.bai
ACB,HG02053,/vol1/ftp/phase3/data/HG02053/exome_alignment/HG02053.mapped.ILLUMINA.bwa.ACB.exome.20121211.bam,/vol1/ftp/phase3/data/HG02053/exome_alignment/HG02053.mapped.ILLUMINA.bwa.ACB.exome.20121211.bam.bai
CHB,NA18630,/vol1/ftp/phase3/data/NA18630/exome_alignment/NA18630.mapped.ILLUMINA.bwa.CHB.exome.20130415.bam,/vol1/ftp/phase3/data/NA18630/exome_alignment/NA18630.mapped.ILLUMINA.bwa.CHB.exome.20130415.bam.bai
PJL,HG02690,/vol1/ftp/phase3/data/HG02690/exome_alignment/HG02690.mapped.ILLUMINA.bwa.PJL.exome.20130415.bam,/vol1/ftp/phase3/data/HG02690/exome_alignment/HG02690.mapped.ILLUMINA.bwa.PJL.exome.20130415.bam.bai
GIH,NA20876,/vol1/ftp/phase3/data/NA20876/exome_alignment/NA20876.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam,/vol1/ftp/phase3/data/NA20876/exome_alignment/NA20876.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam.bai
IBS,HG01776,/vol1/ftp/phase3/data/HG01776/exome_alignment/HG01776.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam,/vol1/ftp/phase3/data/HG01776/exome_alignment/HG01776.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam.bai
TSI,NA20502,/vol1/ftp/phase3/data/NA20502/exome_alignment/NA20502.mapped.ILLUMINA.bwa.TSI.exome.20130415.bam,/vol1/ftp/phase3/data/NA20502/exome_alignment/NA20502.mapped.ILLUMINA.bwa.TSI.exome.20130415.bam.bai
ACB,HG02450,/vol1/ftp/phase3/data/HG02450/exome_alignment/HG02450.mapped.ILLUMINA.bwa.ACB.exome.20120522.bam,/vol1/ftp/phase3/data/HG02450/exome_alignment/HG02450.mapped.ILLUMINA.bwa.ACB.exome.20120522.bam.bai
FIN,HG00173,/vol1/ftp/phase3/data/HG00173/exome_alignment/HG00173.mapped.ILLUMINA.bwa.FIN.exome.20130415.bam,/vol1/ftp/phase3/data/HG00173/exome_alignment/HG00173.mapped.ILLUMINA.bwa.FIN.exome.20130415.bam.bai
GWD,HG02610,/vol1/ftp/phase3/data/HG02610/exome_alignment/HG02610.mapped.ILLUMINA.bwa.GWD.exome.20121211.bam,/vol1/ftp/phase3/data/HG02610/exome_alignment/HG02610.mapped.ILLUMINA.bwa.GWD.exome.20121211.bam.bai
LWK,NA19475,/vol1/ftp/phase3/data/NA19475/exome_alignment/NA19475.mapped.ILLUMINA.bwa.LWK.exome.20130415.bam,/vol1/ftp/phase3/data/NA19475/exome_alignment/NA19475.mapped.ILLUMINA.bwa.LWK.exome.20130415.bam.bai
GIH,NA20846,/vol1/ftp/phase3/data/NA20846/exome_alignment/NA20846.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam,/vol1/ftp/phase3/data/NA20846/exome_alignment/NA20846.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam.bai
ESN,HG03351,/vol1/ftp/phase3/data/HG03351/exome_alignment/HG03351.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam,/vol1/ftp/phase3/data/HG03351/exome_alignment/HG03351.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam.bai
PEL,HG02298,/vol1/ftp/phase3/data/HG02298/exome_alignment/HG02298.mapped.ILLUMINA.bwa.PEL.exome.20120522.bam,/vol1/ftp/phase3/data/HG02298/exome_alignment/HG02298.mapped.ILLUMINA.bwa.PEL.exome.20120522.bam.bai
CHB,NA18647,/vol1/ftp/phase3/data/NA18647/exome_alignment/NA18647.mapped.ILLUMINA.bwa.CHB.exome.20130415.bam,/vol1/ftp/phase3/data/NA18647/exome_alignment/NA18647.mapped.ILLUMINA.bwa.CHB.exome.20130415.bam.bai
IBS,HG01710,/vol1/ftp/phase3/data/HG01710/exome_alignment/HG01710.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam,/vol1/ftp/phase3/data/HG01710/exome_alignment/HG01710.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam.bai
IBS,HG01699,/vol1/ftp/phase3/data/HG01699/exome_alignment/HG01699.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam,/vol1/ftp/phase3/data/HG01699/exome_alignment/HG01699.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam.bai
CLM,HG01464,/vol1/ftp/phase3/data/HG01464/exome_alignment/HG01464.mapped.ILLUMINA.bwa.CLM.exome.20120522.bam,/vol1/ftp/phase3/data/HG01464/exome_alignment/HG01464.mapped.ILLUMINA.bwa.CLM.exome.20120522.bam.bai
MSL,HG03054,/vol1/ftp/phase3/data/HG03054/exome_alignment/HG03054.mapped.ILLUMINA.bwa.MSL.exome.20130415.bam,/vol1/ftp/phase3/data/HG03054/exome_alignment/HG03054.mapped.ILLUMINA.bwa.MSL.exome.20130415.bam.bai
FIN,HG00182,/vol1/ftp/phase3/data/HG00182/exome_alignment/HG00182.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam,/vol1/ftp/phase3/data/HG00182/exome_alignment/HG00182.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam.bai
GIH,NA21135,/vol1/ftp/phase3/data/NA21135/exome_alignment/NA21135.mapped.ILLUMINA.bwa.GIH.exome.20130415.bam,/vol1/ftp/phase3/data/NA21135/exome_alignment/NA21135.mapped.ILLUMINA.bwa.GIH.exome.20130415.bam.bai
LWK,NA19332,/vol1/ftp/phase3/data/NA19332/exome_alignment/NA19332.mapped.ILLUMINA.bwa.LWK.exome.20120522.bam,/vol1/ftp/phase3/data/NA19332/exome_alignment/NA19332.mapped.ILLUMINA.bwa.LWK.exome.20120522.bam.bai
BEB,HG03908,/vol1/ftp/phase3/data/HG03908/exome_alignment/HG03908.mapped.ILLUMINA.bwa.BEB.exome.20130415.bam,/vol1/ftp/phase3/data/HG03908/exome_alignment/HG03908.mapped.ILLUMINA.bwa.BEB.exome.20130415.bam.bai
CDX,HG02409,/vol1/ftp/phase3/data/HG02409/exome_alignment/HG02409.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam,/vol1/ftp/phase3/data/HG02409/exome_alignment/HG02409.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam.bai
JPT,NA19056,/vol1/ftp/phase3/data/NA19056/exome_alignment/NA19056.mapped.ILLUMINA.bwa.JPT.exome.20120522.bam,/vol1/ftp/phase3/data/NA19056/exome_alignment/NA19056.mapped.ILLUMINA.bwa.JPT.exome.20120522.bam.bai
CHS,HG00533,/vol1/ftp/phase3/data/HG00533/exome_alignment/HG00533.mapped.ILLUMINA.bwa.CHS.exome.20120522.bam,/vol1/ftp/phase3/data/HG00533/exome_alignment/HG00533.mapped.ILLUMINA.bwa.CHS.exome.20120522.bam.bai
ITU,HG03785,/vol1/ftp/phase3/data/HG03785/exome_alignment/HG03785.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam,/vol1/ftp/phase3/data/HG03785/exome_alignment/HG03785.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam.bai
PUR,HG01205,/vol1/ftp/phase3/data/HG01205/exome_alignment/HG01205.mapped.ILLUMINA.bwa.PUR.exome.20121211.bam,/vol1/ftp/phase3/data/HG01205/exome_alignment/HG01205.mapped.ILLUMINA.bwa.PUR.exome.20121211.bam.bai
BEB,HG03931,/vol1/ftp/phase3/data/HG03931/exome_alignment/HG03931.mapped.ILLUMINA.bwa.BEB.exome.20130422.bam,/vol1/ftp/phase3/data/HG03931/exome_alignment/HG03931.mapped.ILLUMINA.bwa.BEB.exome.20130422.bam.bai
STU,HG04035,/vol1/ftp/phase3/data/HG04035/exome_alignment/HG04035.mapped.ILLUMINA.bwa.STU.exome.20130415.bam,/vol1/ftp/phase3/data/HG04035/exome_alignment/HG04035.mapped.ILLUMINA.bwa.STU.exome.20130415.bam.bai
YRI,NA19114,/vol1/ftp/phase3/data/NA19114/exome_alignment/NA19114.mapped.ILLUMINA.bwa.YRI.exome.20121211.bam,/vol1/ftp/phase3/data/NA19114/exome_alignment/NA19114.mapped.ILLUMINA.bwa.YRI.exome.20121211.bam.bai
GIH,NA21113,/vol1/ftp/phase3/data/NA21113/exome_alignment/NA21113.mapped.ILLUMINA.bwa.GIH.exome.20130415.bam,/vol1/ftp/phase3/data/NA21113/exome_alignment/NA21113.mapped.ILLUMINA.bwa.GIH.exome.20130415.bam.bai
CHS,HG00675,/vol1/ftp/phase3/data/HG00675/exome_alignment/HG00675.mapped.ILLUMINA.bwa.CHS.exome.20121211.bam,/vol1/ftp/phase3/data/HG00675/exome_alignment/HG00675.mapped.ILLUMINA.bwa.CHS.exome.20121211.bam.bai
ACB,HG02010,/vol1/ftp/phase3/data/HG02010/exome_alignment/HG02010.mapped.ILLUMINA.bwa.ACB.exome.20130415.bam,/vol1/ftp/phase3/data/HG02010/exome_alignment/HG02010.mapped.ILLUMINA.bwa.ACB.exome.20130415.bam.bai
PJL,HG02790,/vol1/ftp/phase3/data/HG02790/exome_alignment/HG02790.mapped.ILLUMINA.bwa.PJL.exome.20121211.bam,/vol1/ftp/phase3/data/HG02790/exome_alignment/HG02790.mapped.ILLUMINA.bwa.PJL.exome.20121211.bam.bai
MXL,NA19663,/vol1/ftp/phase3/data/NA19663/exome_alignment/NA19663.mapped.ILLUMINA.bwa.MXL.exome.20120522.bam,/vol1/ftp/phase3/data/NA19663/exome_alignment/NA19663.mapped.ILLUMINA.bwa.MXL.exome.20120522.bam.bai
PEL,HG01924,/vol1/ftp/phase3/data/HG01924/exome_alignment/HG01924.mapped.ILLUMINA.bwa.PEL.exome.20121211.bam,/vol1/ftp/phase3/data/HG01924/exome_alignment/HG01924.mapped.ILLUMINA.bwa.PEL.exome.20121211.bam.bai
KHV,HG02048,/vol1/ftp/phase3/data/HG02048/exome_alignment/HG02048.mapped.ILLUMINA.bwa.KHV.exome.20120522.bam,/vol1/ftp/phase3/data/HG02048/exome_alignment/HG02048.mapped.ILLUMINA.bwa.KHV.exome.20120522.bam.bai
MSL,HG03385,/vol1/ftp/phase3/data/HG03385/exome_alignment/HG03385.mapped.ILLUMINA.bwa.MSL.exome.20130415.bam,/vol1/ftp/phase3/data/HG03385/exome_alignment/HG03385.mapped.ILLUMINA.bwa.MSL.exome.20130415.bam.bai
PJL,HG02786,/vol1/ftp/phase3/data/HG02786/exome_alignment/HG02786.mapped.ILLUMINA.bwa.PJL.exome.20130415.bam,/vol1/ftp/phase3/data/HG02786/exome_alignment/HG02786.mapped.ILLUMINA.bwa.PJL.exome.20130415.bam.bai
IBS,HG01522,/vol1/ftp/phase3/data/HG01522/exome_alignment/HG01522.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam,/vol1/ftp/phase3/data/HG01522/exome_alignment/HG01522.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam.bai
PUR,HG01052,/vol1/ftp/phase3/data/HG01052/exome_alignment/HG01052.mapped.ILLUMINA.bwa.PUR.exome.20120522.bam,/vol1/ftp/phase3/data/HG01052/exome_alignment/HG01052.mapped.ILLUMINA.bwa.PUR.exome.20120522.bam.bai
CEU,NA12814,/vol1/ftp/phase3/data/NA12814/exome_alignment/NA12814.mapped.ILLUMINA.bwa.CEU.exome.20130415.bam,/vol1/ftp/phase3/data/NA12814/exome_alignment/NA12814.mapped.ILLUMINA.bwa.CEU.exome.20130415.bam.bai
MXL,NA19752,/vol1/ftp/phase3/data/NA19752/exome_alignment/NA19752.mapped.ILLUMINA.bwa.MXL.exome.20130422.bam,/vol1/ftp/phase3/data/NA19752/exome_alignment/NA19752.mapped.ILLUMINA.bwa.MXL.exome.20130422.bam.bai
GIH,NA20903,/vol1/ftp/phase3/data/NA20903/exome_alignment/NA20903.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam,/vol1/ftp/phase3/data/NA20903/exome_alignment/NA20903.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam.bai
PUR,HG00743,/vol1/ftp/phase3/data/HG00743/exome_alignment/HG00743.mapped.ILLUMINA.bwa.PUR.exome.20130415.bam,/vol1/ftp/phase3/data/HG00743/exome_alignment/HG00743.mapped.ILLUMINA.bwa.PUR.exome.20130415.bam.bai
LWK,NA19390,/vol1/ftp/phase3/data/NA19390/exome_alignment/NA19390.mapped.ILLUMINA.bwa.LWK.exome.20130415.bam,/vol1/ftp/phase3/data/NA19390/exome_alignment/NA19390.mapped.ILLUMINA.bwa.LWK.exome.20130415.bam.bai
ITU,HG04001,/vol1/ftp/phase3/data/HG04001/exome_alignment/HG04001.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam,/vol1/ftp/phase3/data/HG04001/exome_alignment/HG04001.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam.bai
ACB,HG01886,/vol1/ftp/phase3/data/HG01886/exome_alignment/HG01886.mapped.ILLUMINA.bwa.ACB.exome.20120522.bam,/vol1/ftp/phase3/data/HG01886/exome_alignment/HG01886.mapped.ILLUMINA.bwa.ACB.exome.20120522.bam.bai
ITU,HG03963,/vol1/ftp/phase3/data/HG03963/exome_alignment/HG03963.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam,/vol1/ftp/phase3/data/HG03963/exome_alignment/HG03963.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam.bai
ESN,HG02970,/vol1/ftp/phase3/data/HG02970/exome_alignment/HG02970.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam,/vol1/ftp/phase3/data/HG02970/exome_alignment/HG02970.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam.bai
FIN,HG00325,/vol1/ftp/phase3/data/HG00325/exome_alignment/HG00325.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam,/vol1/ftp/phase3/data/HG00325/exome_alignment/HG00325.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam.bai
BEB,HG03914,/vol1/ftp/phase3/data/HG03914/exome_alignment/HG03914.mapped.ILLUMINA.bwa.BEB.exome.20130415.bam,/vol1/ftp/phase3/data/HG03914/exome_alignment/HG03914.mapped.ILLUMINA.bwa.BEB.exome.20130415.bam.bai
YRI,NA19146,/vol1/ftp/phase3/data/NA19146/exome_alignment/NA19146.mapped.ILLUMINA.bwa.YRI.exome.20130422.bam,/vol1/ftp/phase3/data/NA19146/exome_alignment/NA19146.mapped.ILLUMINA.bwa.YRI.exome.20130422.bam.bai
PJL,HG02789,/vol1/ftp/phase3/data/HG02789/exome_alignment/HG02789.mapped.ILLUMINA.bwa.PJL.exome.20121211.bam,/vol1/ftp/phase3/data/HG02789/exome_alignment/HG02789.mapped.ILLUMINA.bwa.PJL.exome.20121211.bam.bai
GIH,NA21089,/vol1/ftp/phase3/data/NA21089/exome_alignment/NA21089.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam,/vol1/ftp/phase3/data/NA21089/exome_alignment/NA21089.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam.bai
GIH,NA20862,/vol1/ftp/phase3/data/NA20862/exome_alignment/NA20862.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam,/vol1/ftp/phase3/data/NA20862/exome_alignment/NA20862.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam.bai
LWK,NA19318,/vol1/ftp/phase3/data/NA19318/exome_alignment/NA19318.mapped.ILLUMINA.bwa.LWK.exome.20120522.bam,/vol1/ftp/phase3/data/NA19318/exome_alignment/NA19318.mapped.ILLUMINA.bwa.LWK.exome.20120522.bam.bai
ACB,HG02485,/vol1/ftp/phase3/data/HG02485/exome_alignment/HG02485.mapped.ILLUMINA.bwa.ACB.exome.20130415.bam,/vol1/ftp/phase3/data/HG02485/exome_alignment/HG02485.mapped.ILLUMINA.bwa.ACB.exome.20130415.bam.bai
IBS,HG01516,/vol1/ftp/phase3/data/HG01516/exome_alignment/HG01516.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam,/vol1/ftp/phase3/data/HG01516/exome_alignment/HG01516.mapped.ILLUMINA.bwa.IBS.exome.20120522.bam.bai
CDX,HG02397,/vol1/ftp/phase3/data/HG02397/exome_alignment/HG02397.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam,/vol1/ftp/phase3/data/HG02397/exome_alignment/HG02397.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam.bai
YRI,NA19198,/vol1/ftp/phase3/data/NA19198/exome_alignment/NA19198.mapped.ILLUMINA.bwa.YRI.exome.20120522.bam,/vol1/ftp/phase3/data/NA19198/exome_alignment/NA19198.mapped.ILLUMINA.bwa.YRI.exome.20120522.bam.bai
YRI,NA19235,/vol1/ftp/phase3/data/NA19235/exome_alignment/NA19235.mapped.ILLUMINA.bwa.YRI.exome.20120522.bam,/vol1/ftp/phase3/data/NA19235/exome_alignment/NA19235.mapped.ILLUMINA.bwa.YRI.exome.20120522.bam.bai
JPT,NA19011,/vol1/ftp/phase3/data/NA19011/exome_alignment/NA19011.mapped.ILLUMINA.bwa.JPT.exome.20130415.bam,/vol1/ftp/phase3/data/NA19011/exome_alignment/NA19011.mapped.ILLUMINA.bwa.JPT.exome.20130415.bam.bai
FIN,HG00326,/vol1/ftp/phase3/data/HG00326/exome_alignment/HG00326.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam,/vol1/ftp/phase3/data/HG00326/exome_alignment/HG00326.mapped.ILLUMINA.bwa.FIN.exome.20120522.bam.bai
CHS,HG00446,/vol1/ftp/phase3/data/HG00446/exome_alignment/HG00446.mapped.ILLUMINA.bwa.CHS.exome.20121211.bam,/vol1/ftp/phase3/data/HG00446/exome_alignment/HG00446.mapped.ILLUMINA.bwa.CHS.exome.20121211.bam.bai
YRI,NA18511,/vol1/ftp/phase3/data/NA18511/exome_alignment/NA18511.mapped.ILLUMINA.bwa.YRI.exome.20121211.bam,/vol1/ftp/phase3/data/NA18511/exome_alignment/NA18511.mapped.ILLUMINA.bwa.YRI.exome.20121211.bam.bai
BEB,HG04164,/vol1/ftp/phase3/data/HG04164/exome_alignment/HG04164.mapped.ILLUMINA.bwa.BEB.exome.20130415.bam,/vol1/ftp/phase3/data/HG04164/exome_alignment/HG04164.mapped.ILLUMINA.bwa.BEB.exome.20130415.bam.bai
ITU,HG04014,/vol1/ftp/phase3/data/HG04014/exome_alignment/HG04014.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam,/vol1/ftp/phase3/data/HG04014/exome_alignment/HG04014.mapped.ILLUMINA.bwa.ITU.exome.20130415.bam.bai
IBS,HG01669,/vol1/ftp/phase3/data/HG01669/exome_alignment/HG01669.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam,/vol1/ftp/phase3/data/HG01669/exome_alignment/HG01669.mapped.ILLUMINA.bwa.IBS.exome.20130415.bam.bai
PUR,HG01191,/vol1/ftp/phase3/data/HG01191/exome_alignment/HG01191.mapped.ILLUMINA.bwa.PUR.exome.20121211.bam,/vol1/ftp/phase3/data/HG01191/exome_alignment/HG01191.mapped.ILLUMINA.bwa.PUR.exome.20121211.bam.bai
KHV,HG01868,/vol1/ftp/phase3/data/HG01868/exome_alignment/HG01868.mapped.ILLUMINA.bwa.KHV.exome.20120522.bam,/vol1/ftp/phase3/data/HG01868/exome_alignment/HG01868.mapped.ILLUMINA.bwa.KHV.exome.20120522.bam.bai
CEU,NA11843,/vol1/ftp/phase3/data/NA11843/exome_alignment/NA11843.mapped.ILLUMINA.bwa.CEU.exome.20120522.bam,/vol1/ftp/phase3/data/NA11843/exome_alignment/NA11843.mapped.ILLUMINA.bwa.CEU.exome.20120522.bam.bai
